estado	fecha_caso_nuevo	count
Guerrero	2020-03-25	7
Guerrero	2020-03-28	10
Guerrero	2020-03-29	13
Guerrero	2020-03-31	15
Guerrero	2020-04-01	17
Hidalgo	2020-03-19	2
Hidalgo	2020-03-21	3
Hidalgo	2020-03-22	5
Hidalgo	2020-03-23	7
Hidalgo	2020-03-26	12
Hidalgo	2020-03-29	17
Hidalgo	2020-03-31	19
Hidalgo	2020-04-01	21
Jalisco	2020-03-15	2
Jalisco	2020-03-17	5
Jalisco	2020-03-18	6
Jalisco	2020-03-19	22
Jalisco	2020-03-20	28
Jalisco	2020-03-21	32
Jalisco	2020-03-22	41
Jalisco	2020-03-23	46
Jalisco	2020-03-26	66
Jalisco	2020-03-27	79
Jalisco	2020-03-28	84
Jalisco	2020-03-29	85
Jalisco	2020-03-30	92
Jalisco	2020-03-31	96
Jalisco	2020-04-01	102
Michoacán	2020-03-22	3
Michoacán	2020-03-23	7
Michoacán	2020-03-24	8
Michoacán	2020-03-25	10
Michoacán	2020-03-26	11
Michoacán	2020-03-27	16
Michoacán	2020-03-28	17
Michoacán	2020-03-31	21
Michoacán	2020-04-01	24
Morelos	2020-03-20	2
Morelos	2020-03-26	4
Morelos	2020-03-29	6
Morelos	2020-03-31	7
Morelos	2020-04-01	9
México	2020-03-15	4
México	2020-03-16	9
México	2020-03-17	10
México	2020-03-20	14
México	2020-03-22	22
México	2020-03-25	26
México	2020-03-26	46
México	2020-03-27	70
México	2020-03-28	85
México	2020-03-29	119
México	2020-03-30	136
México	2020-03-31	149
México	2020-04-01	160
Nayarit	2020-03-21	1
Nayarit	2020-03-25	4
Nayarit	2020-03-27	5
Nayarit	2020-03-30	6
Nayarit	2020-04-01	8
Nuevo León	2020-03-15	5
Nuevo León	2020-03-16	13
Nuevo León	2020-03-17	14
Nuevo León	2020-03-18	19
Nuevo León	2020-03-20	29
Nuevo León	2020-03-21	32
Nuevo León	2020-03-22	35
Nuevo León	2020-03-23	40
Nuevo León	2020-03-24	52
Nuevo León	2020-03-26	57
Nuevo León	2020-03-27	64
Nuevo León	2020-03-29	67
Nuevo León	2020-03-30	75
Nuevo León	2020-03-31	76
Nuevo León	2020-04-01	78
Oaxaca	2020-03-15	2
Oaxaca	2020-03-22	3
Oaxaca	2020-03-23	4
Oaxaca	2020-03-25	7
Oaxaca	2020-03-26	8
Oaxaca	2020-03-27	11
Oaxaca	2020-03-28	12
Oaxaca	2020-03-29	14
Oaxaca	2020-04-01	22
Puebla	2020-03-15	5
Puebla	2020-03-16	8
Puebla	2020-03-17	9
Puebla	2020-03-19	11
Puebla	2020-03-20	14
Puebla	2020-03-21	16
Puebla	2020-03-24	22
Puebla	2020-03-25	34
Puebla	2020-03-26	45
Puebla	2020-03-27	51
Puebla	2020-03-28	52
Puebla	2020-03-29	66
Puebla	2020-03-30	76
Puebla	2020-03-31	81
Puebla	2020-04-01	97
Queretaro	2020-03-15	6
Queretaro	2020-03-16	7
Queretaro	2020-03-19	9
Queretaro	2020-03-20	11
Queretaro	2020-03-21	14
Queretaro	2020-03-23	16
Queretaro	2020-03-25	18
Queretaro	2020-03-26	21
Queretaro	2020-03-27	23
Queretaro	2020-03-28	25
Queretaro	2020-03-29	26
Queretaro	2020-03-30	27
Queretaro	2020-03-31	29
Quintana Roo	2020-03-15	1
Quintana Roo	2020-03-16	4
Quintana Roo	2020-03-18	6
Quintana Roo	2020-03-20	11
Quintana Roo	2020-03-21	12
Quintana Roo	2020-03-23	21
Quintana Roo	2020-03-24	22
Quintana Roo	2020-03-26	29
Quintana Roo	2020-03-28	33
Quintana Roo	2020-03-29	38
Quintana Roo	2020-03-30	43
Quintana Roo	2020-03-31	47
Quintana Roo	2020-04-01	51
San Luis Potosí	2020-03-15	2
San Luis Potosí	2020-03-18	3
San Luis Potosí	2020-03-19	7
San Luis Potosí	2020-03-21	9
San Luis Potosí	2020-03-22	12
San Luis Potosí	2020-03-23	16
San Luis Potosí	2020-03-25	17
San Luis Potosí	2020-03-26	18
San Luis Potosí	2020-03-27	19
San Luis Potosí	2020-03-28	20
San Luis Potosí	2020-03-29	24
San Luis Potosí	2020-03-30	25
San Luis Potosí	2020-04-01	31
Sinaloa	2020-03-15	2
Sinaloa	2020-03-19	3
Sinaloa	2020-03-22	4
Sinaloa	2020-03-26	8
Sinaloa	2020-03-27	9
Sinaloa	2020-03-28	14
Sinaloa	2020-03-29	19
Sinaloa	2020-03-30	24
Sinaloa	2020-03-31	27
Sinaloa	2020-04-01	32
Sonora	2020-03-17	1
Sonora	2020-03-19	2
Sonora	2020-03-22	4
Sonora	2020-03-26	7
Sonora	2020-03-27	8
Sonora	2020-03-28	10
Sonora	2020-03-29	14
Sonora	2020-03-30	17
Sonora	2020-04-01	18
Tabasco	2020-03-18	1
Tabasco	2020-03-20	2
Tabasco	2020-03-21	4
Tabasco	2020-03-22	5
Tabasco	2020-03-23	6
Tabasco	2020-03-26	17
Tabasco	2020-03-27	21
Tabasco	2020-03-28	27
Tabasco	2020-03-29	33
Tabasco	2020-03-30	38
Tabasco	2020-03-31	48
Tabasco	2020-04-01	52
Tamaulipas	2020-03-17	1
Tamaulipas	2020-03-18	2
Tamaulipas	2020-03-21	3
Tamaulipas	2020-03-22	4
Tamaulipas	2020-03-23	5
Tamaulipas	2020-03-25	6
Tamaulipas	2020-03-29	7
Tamaulipas	2020-03-30	8
Tamaulipas	2020-04-01	9
Tlaxcala	2020-03-25	1
Tlaxcala	2020-03-27	4
Tlaxcala	2020-04-01	5
Veracruz	2020-03-18	2
Veracruz	2020-03-20	4
Veracruz	2020-03-21	7
Veracruz	2020-03-27	17
Veracruz	2020-03-28	23
Veracruz	2020-03-29	24
Veracruz	2020-03-30	26
Veracruz	2020-03-31	27
Veracruz	2020-04-01	28
Yucatán	2020-03-15	1
Yucatán	2020-03-16	4
Yucatán	2020-03-17	5
Yucatán	2020-03-18	8
Yucatán	2020-03-19	13
Yucatán	2020-03-21	14
Yucatán	2020-03-22	19
Yucatán	2020-03-24	24
Yucatán	2020-03-25	29
Yucatán	2020-03-26	32
Yucatán	2020-03-27	36
Yucatán	2020-03-28	38
Yucatán	2020-03-29	41
Yucatán	2020-03-30	46
Yucatán	2020-03-31	49
Yucatán	2020-04-01	52
Zacatecas	2020-03-21	1
Zacatecas	2020-03-22	2
Zacatecas	2020-03-23	3
Zacatecas	2020-03-26	4
Zacatecas	2020-03-29	5
Zacatecas	2020-03-30	6
